DateTime,UserID,Operation
2023/07/01 00:08:00,U00262,Access:プリンター
2023/07/01 00:14:00,U00067,Access:プリンター
2023/07/01 00:14:00,U00067,Add to Cart:プリンター
2023/07/01 00:14:00,U00067,Purchase
2023/07/01 00:50:00,U00060,Access:デスクトップパソコン
2023/07/01 00:50:00,U00060,Access:プリンター
2023/07/01 01:05:00,U00291,Access:ノートパソコン
2023/07/01 01:05:00,U00291,Add to Cart:ノートパソコン
2023/07/01 01:05:00,U00291,Purchase
2023/07/01 01:15:00,U00214,Access:デスクトップパソコン
2023/07/01 01:27:00,U00148,Access:ノートパソコン
2023/07/01 01:29:00,U00050,Access:プリンター
2023/07/01 01:34:00,U00203,Access:デスクトップパソコン
2023/07/01 01:37:00,U00102,Access:ノートパソコン
2023/07/01 01:40:00,U00289,Access:プリンター
2023/07/01 01:56:00,U00287,Access:プリンター
2023/07/01 02:01:00,U00134,Access:ノートパソコン
2023/07/01 02:21:00,U00148,Access:ノートパソコン
2023/07/01 02:35:00,U00036,Access:ノートパソコン
2023/07/01 02:35:00,U00036,Access:プリンター
2023/07/01 02:35:00,U00036,Add to Cart:プリンター
2023/07/01 02:35:00,U00036,Remove from Cart:プリンター
2023/07/01 02:40:00,U00129,Access:プリンター
2023/07/01 02:42:00,U00069,Access:デスクトップパソコン
2023/07/01 02:42:00,U00069,Add to Cart:デスクトップパソコン
2023/07/01 02:42:00,U00069,Remove from Cart:デスクトップパソコン
2023/07/01 03:08:00,U00132,Access:デスクトップパソコン
2023/07/01 03:12:00,U00257,Access:ノートパソコン
2023/07/01 03:12:00,U00257,Access:デスクトップパソコン
2023/07/01 03:38:00,U00048,Access:ノートパソコン
2023/07/01 03:54:00,U00260,Access:プリンター
2023/07/01 04:15:00,U00065,Access:ノートパソコン
2023/07/01 04:15:00,U00065,Access:プリンター
2023/07/01 04:15:00,U00065,Add to Cart:プリンター
2023/07/01 04:15:00,U00065,Purchase
2023/07/01 04:27:00,U00144,Access:デスクトップパソコン
2023/07/01 04:45:00,U00017,Access:ノートパソコン
2023/07/01 05:02:00,U00243,Access:ノートパソコン
2023/07/01 05:42:00,U00141,Access:プリンター
2023/07/01 05:53:00,U00191,Access:プリンター
2023/07/01 06:09:00,U00265,Access:ノートパソコン
2023/07/01 06:09:00,U00265,Add to Cart:ノートパソコン
2023/07/01 06:09:00,U00265,Access:デスクトップパソコン
2023/07/01 06:09:00,U00265,Purchase
2023/07/01 06:51:00,U00017,Access:プリンター
2023/07/01 07:13:00,U00039,Access:デスクトップパソコン
2023/07/01 07:16:00,U00278,Access:デスクトップパソコン
2023/07/01 07:27:00,U00044,Access:プリンター
2023/07/01 07:44:00,U00041,Access:デスクトップパソコン
2023/07/01 07:44:00,U00041,Access:プリンター
2023/07/01 08:19:00,U00256,Access:デスクトップパソコン
2023/07/01 08:41:00,U00161,Access:デスクトップパソコン
2023/07/01 09:01:00,U00180,Access:デスクトップパソコン
2023/07/01 09:01:00,U00180,Add to Cart:デスクトップパソコン
2023/07/01 09:01:00,U00180,Purchase
